L1,L2,L3,GROUP_DVS_CD,관리 계정 코드,계정코드,,계정명,,원가종류,계정구분,상위계정,계정코드,,계정명,,원가종류,계정구분,상위계정,계정코드,,계정명,,계정코드,,계정명,,계정코드,,계정명
,,,ETC,MK-101,50151507,1,원가)도서인쇄비(인쇄비),,용역원가,경 비 (5015),원가)도서인쇄비 (501515),50151507,1,원가)도서인쇄비(인쇄비),,용역원가,경 비 (5015),원가)도서인쇄비 (501515),50151507,1,원가)도서인쇄비(인쇄비),,,,,,,,
,,,ETC,MK-101,50152533,1,원가)복리후생비(행사비),,용역원가,경 비 (5015),원가)복리후생비 (501525),50152533,1,원가)복리후생비(행사비),,용역원가,경 비 (5015),원가)복리후생비 (501525),50152533,1,원가)복리후생비(행사비),,,,,,,,
,외부활동비,고객관리비,WELFARE,MK-201,60115301,1,접대비,,일반관리비,판매비및일반관리비 (6011),접대비 (601153),60115301,1,접대비,,일반관리비,판매비및일반관리비 (6011),접대비 (601153),60115301,1,접대비,,813,,접대비,,813,,접대비
,,,WELFARE,MK-201,,,,,일반관리비,판매비및일반관리비 (6011),접대비 (601153),60115305,1,접대비(경조금),,일반관리비,판매비및일반관리비 (6011),접대비 (601153),60115305,1,접대비(경조금),,,,,,713,,접대비
,,,WELFARE,MK-201,,,,,일반관리비,판매비및일반관리비 (6011),접대비 (601153),60115307,1,접대비(화환대),,일반관리비,판매비및일반관리비 (6011),접대비 (601153),60115307,1,접대비(화환대),,,,,,,,
,,,WELFARE,MK-201,,,,,일반관리비,판매비및일반관리비 (6011),접대비 (601153),60115399,1,접대비(공통),,일반관리비,판매비및일반관리비 (6011),접대비 (601153),60115399,1,접대비(공통),,,,,,,,
,,,WELFARE,MK-201,60114755,1,경상시험연구비(접대비),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114755,1,경상시험연구비(접대비),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114755,1,경상시험연구비(접대비),,,,,,,,
,,,WELFARE,MK-201,50152101,1,원가)접대비,,용역원가,경 비 (5015),원가)접대비 (501521),50152101,1,원가)접대비,,용역원가,경 비 (5015),원가)접대비 (501521),50152101,1,원가)접대비,,,,,,,,
,,,WELFARE,MK-201,50152103,1,원가)접대비(현장),,용역원가,경 비 (5015),원가)접대비 (501521),50152103,1,원가)접대비(현장),,용역원가,경 비 (5015),원가)접대비 (501521),50152103,1,원가)접대비(현장),,,,,,,,
,,,WELFARE,MK-201,50152107,1,원가)접대비(경조금),,용역원가,경 비 (5015),원가)접대비 (501521),50152107,1,원가)접대비(경조금),,용역원가,경 비 (5015),원가)접대비 (501521),50152107,1,원가)접대비(경조금),,,,,,,,
,,,WELFARE,MK-201,50152109,1,원가)접대비(화환대),,용역원가,경 비 (5015),원가)접대비 (501521),50152109,1,원가)접대비(화환대),,용역원가,경 비 (5015),원가)접대비 (501521),50152109,1,원가)접대비(화환대),,,,,,,,
,,,WELFARE,MK-201,50154703,1,원가)회의비(현장),,용역원가,경 비 (5015),원가)회의비 (501547),50154703,1,원가)회의비(현장),,용역원가,경 비 (5015),원가)회의비 (501547),50154703,1,원가)회의비(현장),,,,,,,,
,,,WELFARE,MK-201,50152199,1,원가)접대비(기타),,용역원가,경 비 (5015),원가)접대비 (501521),50152199,1,원가)접대비(기타),,용역원가,경 비 (5015),원가)접대비 (501521),50152199,1,원가)접대비(기타),,,,,,,,
운영비(인적복지),복리후생,회식,WELFARE,WF-101,60115705,1,복리후생비(회식대),,일반관리비,판매비및일반관리비 (6011),복리후생비 (601157),60115705,1,복리후생비(회식대),,일반관리비,판매비및일반관리비 (6011),복리후생비 (601157),60115705,1,복리후생비(회식대),,736,,복리후생비,,"811

711",,"복리후생비

복리후생비"
,,,WELFARE,WF-101,50152507,1,원가)복리후생비(회식대),,용역원가,경 비 (5015),원가)복리후생비 (501525),50152507,1,원가)복리후생비(회식대),,용역원가,경 비 (5015),원가)복리후생비 (501525),50152507,1,원가)복리후생비(회식대),,,,,,,,
